date,lang,label_GR,v2_NWO,counts,platform
2020-12-11,eng,0,0,1,4chan
2020-12-11,eng,0,1,91,4chan
2020-12-11,eng,1,1,3,4chan
2020-12-12,eng,0,1,185,4chan
2020-12-12,eng,1,1,9,4chan
2020-12-13,eng,0,1,96,4chan
2020-12-13,eng,1,1,6,4chan
2020-12-14,eng,0,1,98,4chan
2020-12-14,eng,1,1,2,4chan
2020-12-15,eng,0,1,95,4chan
2020-12-15,eng,1,1,10,4chan
2020-12-16,eng,0,1,104,4chan
2020-12-16,eng,1,1,8,4chan
2020-12-17,eng,0,1,87,4chan
2020-12-17,eng,1,1,8,4chan
2020-12-18,eng,0,1,80,4chan
2020-12-18,eng,1,1,2,4chan
2020-12-19,eng,0,1,92,4chan
2020-12-19,eng,1,1,4,4chan
2020-12-20,eng,0,1,96,4chan
2020-12-20,eng,1,1,5,4chan
2020-12-21,eng,0,1,106,4chan
2020-12-21,eng,1,1,7,4chan
2020-12-22,eng,0,1,81,4chan
2020-12-22,eng,1,1,5,4chan
2020-12-23,eng,0,1,61,4chan
2020-12-23,eng,1,1,7,4chan
2020-12-24,eng,0,1,68,4chan
2020-12-24,eng,1,1,2,4chan
2020-12-25,eng,0,1,58,4chan
2020-12-25,eng,1,1,1,4chan
2020-12-26,eng,0,1,42,4chan
2020-12-26,eng,1,1,1,4chan
2020-12-27,eng,0,1,63,4chan
2020-12-27,eng,1,1,4,4chan
2020-12-28,eng,0,1,60,4chan
2020-12-28,eng,1,1,2,4chan
2020-12-29,eng,0,0,2,4chan
2020-12-29,eng,0,1,59,4chan
2020-12-29,eng,1,1,6,4chan
2020-12-30,eng,0,1,58,4chan
2020-12-30,eng,1,1,5,4chan
2020-12-31,eng,0,1,63,4chan
2020-12-31,eng,1,1,9,4chan
2021-01-01,eng,0,1,65,4chan
2021-01-01,eng,1,1,11,4chan
2021-01-02,eng,0,1,59,4chan
2021-01-02,eng,1,1,8,4chan
2021-01-03,eng,0,1,64,4chan
2021-01-03,eng,1,1,5,4chan
2021-01-04,eng,0,1,74,4chan
2021-01-04,eng,1,1,5,4chan
2021-01-05,eng,0,1,82,4chan
2021-01-05,eng,1,1,2,4chan
2021-01-06,eng,0,1,128,4chan
2021-01-06,eng,1,1,4,4chan
2021-01-07,eng,0,1,177,4chan
2021-01-07,eng,1,1,7,4chan
2021-01-08,eng,0,1,189,4chan
2021-01-08,eng,1,1,6,4chan
2021-01-09,eng,0,1,139,4chan
2021-01-09,eng,1,1,4,4chan
2021-01-10,eng,0,1,111,4chan
2021-01-10,eng,1,1,3,4chan
2021-01-11,eng,0,1,129,4chan
