date,lang,label_GR,v2_NWO,counts,platform
2016-06-09,eng,0,0,105,twitter
2016-06-09,eng,0,1,22,twitter
2016-06-09,eng,1,0,29,twitter
2016-06-10,eng,0,0,319,twitter
2016-06-10,eng,0,1,95,twitter
2016-06-10,eng,1,0,72,twitter
2016-06-10,eng,1,1,2,twitter
2016-06-11,eng,0,0,316,twitter
2016-06-11,eng,0,1,69,twitter
2016-06-11,eng,1,0,90,twitter
2016-06-11,eng,1,1,2,twitter
2016-06-12,eng,0,0,281,twitter
2016-06-12,eng,0,1,106,twitter
2016-06-12,eng,1,0,93,twitter
2016-06-12,eng,1,1,1,twitter
2016-06-13,eng,0,0,289,twitter
2016-06-13,eng,0,1,85,twitter
2016-06-13,eng,1,0,99,twitter
2016-06-13,eng,1,1,3,twitter
2016-06-14,eng,0,0,290,twitter
2016-06-14,eng,0,1,106,twitter
2016-06-14,eng,1,0,78,twitter
2016-06-14,eng,1,1,14,twitter
2016-06-15,eng,0,0,286,twitter
2016-06-15,eng,0,1,108,twitter
2016-06-15,eng,1,0,74,twitter
2016-06-15,eng,1,1,2,twitter
2016-06-16,eng,0,0,240,twitter
2016-06-16,eng,0,1,54,twitter
2016-06-16,eng,1,0,190,twitter
2016-06-17,eng,0,0,319,twitter
2016-06-17,eng,0,1,76,twitter
2016-06-17,eng,1,0,80,twitter
2016-06-17,eng,1,1,4,twitter
2016-06-18,eng,0,0,288,twitter
2016-06-18,eng,0,1,103,twitter
2016-06-18,eng,1,0,70,twitter
2016-06-18,eng,1,1,4,twitter
2016-06-19,eng,0,0,281,twitter
2016-06-19,eng,0,1,90,twitter
2016-06-19,eng,1,0,92,twitter
2016-06-19,eng,1,1,14,twitter
2016-06-20,eng,0,0,280,twitter
2016-06-20,eng,0,1,129,twitter
2016-06-20,eng,1,0,73,twitter
2016-06-20,eng,1,1,4,twitter
2016-06-21,eng,0,0,171,twitter
2016-06-21,eng,0,1,116,twitter
2016-06-21,eng,1,0,160,twitter
2016-06-21,eng,1,1,13,twitter
2016-06-22,eng,0,0,314,twitter
2016-06-22,eng,0,1,111,twitter
2016-06-22,eng,1,0,51,twitter
2016-06-22,eng,1,1,2,twitter
2016-06-23,eng,0,0,272,twitter
2016-06-23,eng,0,1,149,twitter
2016-06-23,eng,1,0,51,twitter
2016-06-23,eng,1,1,4,twitter
2016-06-24,eng,0,0,57,twitter
2016-06-24,eng,0,1,375,twitter
2016-06-24,eng,1,0,20,twitter
2016-06-24,eng,1,1,21,twitter
2016-06-25,eng,0,0,287,twitter
2016-06-25,eng,0,1,150,twitter
2016-06-25,eng,1,0,43,twitter
2016-06-25,eng,1,1,2,twitter
2016-06-26,eng,0,0,224,twitter
2016-06-26,eng,0,1,191,twitter
2016-06-26,eng,1,0,48,twitter
2016-06-26,eng,1,1,13,twitter
2016-06-27,eng,0,0,227,twitter
2016-06-27,eng,0,1,211,twitter
2016-06-27,eng,1,0,33,twitter
2016-06-27,eng,1,1,8,twitter
2016-06-28,eng,0,0,140,twitter
2016-06-28,eng,0,1,280,twitter
2016-06-28,eng,1,0,41,twitter
2016-06-28,eng,1,1,8,twitter
2016-06-29,eng,0,0,116,twitter
2016-06-29,eng,0,1,301,twitter
2016-06-29,eng,1,0,48,twitter
2016-06-29,eng,1,1,4,twitter
2016-06-30,eng,0,0,93,twitter
2016-06-30,eng,0,1,181,twitter
2016-06-30,eng,1,0,34,twitter
2016-06-30,eng,1,1,3,twitter
