date,lang,label_GR,v2_NWO,counts,platform
2018-01-09,eng,0,0,6,twitter
2018-01-09,eng,0,1,28,twitter
2018-01-09,eng,1,1,1,twitter
2018-01-10,eng,0,0,118,twitter
2018-01-10,eng,0,1,314,twitter
2018-01-10,eng,1,0,11,twitter
2018-01-10,eng,1,1,14,twitter
2018-01-11,eng,0,0,68,twitter
2018-01-11,eng,0,1,375,twitter
2018-01-11,eng,1,0,5,twitter
2018-01-11,eng,1,1,9,twitter
2018-01-12,eng,0,0,80,twitter
2018-01-12,eng,0,1,367,twitter
2018-01-12,eng,1,0,1,twitter
2018-01-12,eng,1,1,14,twitter
2018-01-13,eng,0,0,92,twitter
2018-01-13,eng,0,1,353,twitter
2018-01-13,eng,1,0,3,twitter
2018-01-13,eng,1,1,13,twitter
2018-01-14,eng,0,0,79,twitter
2018-01-14,eng,0,1,369,twitter
2018-01-14,eng,1,0,4,twitter
2018-01-14,eng,1,1,8,twitter
2018-01-15,eng,0,0,95,twitter
2018-01-15,eng,0,1,300,twitter
2018-01-15,eng,1,0,1,twitter
2018-01-15,eng,1,1,20,twitter
2018-01-16,eng,0,0,93,twitter
2018-01-16,eng,0,1,337,twitter
2018-01-16,eng,1,0,8,twitter
2018-01-16,eng,1,1,17,twitter
2018-01-17,eng,0,0,94,twitter
2018-01-17,eng,0,1,334,twitter
2018-01-17,eng,1,0,10,twitter
2018-01-17,eng,1,1,19,twitter
2018-01-18,eng,0,0,89,twitter
2018-01-18,eng,0,1,279,twitter
2018-01-18,eng,1,0,17,twitter
2018-01-18,eng,1,1,63,twitter
2018-01-19,eng,0,0,84,twitter
2018-01-19,eng,0,1,312,twitter
2018-01-19,eng,1,0,22,twitter
2018-01-19,eng,1,1,46,twitter
2018-01-20,eng,0,0,68,twitter
2018-01-20,eng,0,1,370,twitter
2018-01-20,eng,1,0,8,twitter
2018-01-20,eng,1,1,25,twitter
2018-01-21,eng,0,0,75,twitter
2018-01-21,eng,0,1,353,twitter
2018-01-21,eng,1,0,6,twitter
2018-01-21,eng,1,1,13,twitter
2018-01-22,eng,0,0,66,twitter
2018-01-22,eng,0,1,389,twitter
2018-01-22,eng,1,0,4,twitter
2018-01-22,eng,1,1,10,twitter
2018-01-23,eng,0,0,348,twitter
2018-01-23,eng,0,1,100,twitter
2018-01-23,eng,1,1,2,twitter
2018-01-24,eng,0,0,343,twitter
2018-01-24,eng,0,1,118,twitter
2018-01-24,eng,1,0,2,twitter
2018-01-25,eng,0,0,371,twitter
2018-01-25,eng,0,1,104,twitter
2018-01-25,eng,1,0,3,twitter
2018-01-26,eng,0,0,171,twitter
2018-01-26,eng,0,1,285,twitter
2018-01-26,eng,1,0,1,twitter
2018-01-26,eng,1,1,2,twitter
2018-01-27,eng,0,0,146,twitter
2018-01-27,eng,0,1,318,twitter
2018-01-27,eng,1,0,2,twitter
2018-01-27,eng,1,1,3,twitter
2018-01-28,eng,0,0,132,twitter
2018-01-28,eng,0,1,306,twitter
2018-01-28,eng,1,0,5,twitter
2018-01-28,eng,1,1,9,twitter
2018-01-29,eng,0,0,181,twitter
2018-01-29,eng,0,1,270,twitter
2018-01-29,eng,1,0,2,twitter
2018-01-29,eng,1,1,10,twitter
2018-01-30,eng,0,0,133,twitter
2018-01-30,eng,0,1,317,twitter
2018-01-30,eng,1,0,5,twitter
2018-01-30,eng,1,1,7,twitter
2018-01-31,eng,0,0,107,twitter
2018-01-31,eng,0,1,231,twitter
2018-01-31,eng,1,0,4,twitter
2018-01-31,eng,1,1,3,twitter
