date,lang,label_GR,v2_NWO,counts,platform
2018-07-30,eng,0,0,57,twitter
2018-07-30,eng,0,1,2,twitter
2018-07-30,eng,1,0,4,twitter
2018-07-31,eng,0,0,314,twitter
2018-07-31,eng,0,1,21,twitter
2018-07-31,eng,1,0,19,twitter
2018-08-01,eng,0,0,381,twitter
2018-08-01,eng,0,1,25,twitter
2018-08-01,eng,1,0,10,twitter
2018-08-02,eng,0,0,463,twitter
2018-08-02,eng,0,1,20,twitter
2018-08-02,eng,1,0,40,twitter
2018-08-03,eng,0,0,452,twitter
2018-08-03,eng,0,1,24,twitter
2018-08-03,eng,1,0,9,twitter
2018-08-04,eng,0,0,420,twitter
2018-08-04,eng,0,1,14,twitter
2018-08-04,eng,1,0,8,twitter
2018-08-05,eng,0,0,504,twitter
2018-08-05,eng,0,1,13,twitter
2018-08-05,eng,1,0,9,twitter
2018-08-06,eng,0,0,466,twitter
2018-08-06,eng,0,1,24,twitter
2018-08-06,eng,1,0,14,twitter
2018-08-06,eng,1,1,2,twitter
2018-08-07,eng,0,0,436,twitter
2018-08-07,eng,0,1,22,twitter
2018-08-07,eng,1,0,43,twitter
2018-08-07,eng,1,1,5,twitter
2018-08-08,eng,0,0,422,twitter
2018-08-08,eng,0,1,23,twitter
2018-08-08,eng,1,0,24,twitter
2018-08-08,eng,1,1,3,twitter
2018-08-09,eng,0,0,396,twitter
2018-08-09,eng,0,1,29,twitter
2018-08-09,eng,1,0,40,twitter
2018-08-09,eng,1,1,1,twitter
2018-08-10,eng,0,0,477,twitter
2018-08-10,eng,0,1,29,twitter
2018-08-10,eng,1,0,24,twitter
2018-08-11,eng,0,0,321,twitter
2018-08-11,eng,0,1,32,twitter
2018-08-11,eng,1,0,7,twitter
2018-08-11,eng,1,1,1,twitter
2018-08-12,eng,0,0,412,twitter
2018-08-12,eng,0,1,29,twitter
2018-08-12,eng,1,0,11,twitter
2018-08-13,eng,0,0,478,twitter
2018-08-13,eng,0,1,39,twitter
2018-08-13,eng,1,0,8,twitter
2018-08-14,eng,0,0,344,twitter
2018-08-14,eng,0,1,19,twitter
2018-08-14,eng,1,0,10,twitter
2018-08-15,eng,0,0,406,twitter
2018-08-15,eng,0,1,26,twitter
2018-08-15,eng,1,0,14,twitter
2018-08-15,eng,1,1,3,twitter
2018-08-16,eng,0,0,306,twitter
2018-08-16,eng,0,1,35,twitter
2018-08-16,eng,1,0,7,twitter
2018-08-16,eng,1,1,1,twitter
2018-08-17,eng,0,0,445,twitter
2018-08-17,eng,0,1,18,twitter
2018-08-17,eng,1,0,12,twitter
2018-08-18,eng,0,0,451,twitter
2018-08-18,eng,0,1,35,twitter
2018-08-18,eng,1,0,4,twitter
2018-08-18,eng,1,1,1,twitter
2018-08-19,eng,0,0,357,twitter
2018-08-19,eng,0,1,53,twitter
2018-08-19,eng,1,0,11,twitter
2018-08-19,eng,1,1,2,twitter
2018-08-20,eng,0,0,486,twitter
2018-08-20,eng,0,1,37,twitter
2018-08-20,eng,1,0,25,twitter
2018-08-20,eng,1,1,1,twitter
2018-08-21,eng,0,0,236,twitter
2018-08-21,eng,0,1,12,twitter
2018-08-21,eng,1,0,6,twitter
2018-08-22,eng,0,0,8,twitter
2018-08-22,eng,0,1,1,twitter
2018-08-22,eng,1,0,1,twitter
