date,lang,label_GR,v2_NWO,counts,platform
2013-03-08,eng,0,0,37,twitter
2013-03-08,eng,0,1,188,twitter
2013-03-09,eng,0,0,123,twitter
2013-03-09,eng,0,1,371,twitter
2013-03-10,eng,0,0,146,twitter
2013-03-10,eng,0,1,497,twitter
2013-03-10,eng,1,0,2,twitter
2013-03-10,eng,1,1,3,twitter
2013-03-11,eng,0,0,95,twitter
2013-03-11,eng,0,1,296,twitter
2013-03-11,eng,1,0,2,twitter
2013-03-11,eng,1,1,1,twitter
2013-03-12,eng,0,0,87,twitter
2013-03-12,eng,0,1,439,twitter
2013-03-12,eng,1,0,1,twitter
2013-03-12,eng,1,1,5,twitter
2013-03-13,eng,0,0,92,twitter
2013-03-13,eng,0,1,232,twitter
2013-03-13,eng,1,1,1,twitter
2013-03-14,eng,0,0,292,twitter
2013-03-14,eng,0,1,303,twitter
2013-03-14,eng,1,0,4,twitter
2013-03-14,eng,1,1,1,twitter
2013-03-15,eng,0,0,128,twitter
2013-03-15,eng,0,1,248,twitter
2013-03-15,eng,1,0,1,twitter
2013-03-15,eng,1,1,1,twitter
2013-03-16,eng,0,0,47,twitter
2013-03-16,eng,0,1,610,twitter
2013-03-16,eng,1,0,2,twitter
2013-03-17,eng,0,0,93,twitter
2013-03-17,eng,0,1,370,twitter
2013-03-17,eng,1,0,1,twitter
2013-03-17,eng,1,1,1,twitter
2013-03-18,eng,0,0,62,twitter
2013-03-18,eng,0,1,268,twitter
2013-03-18,eng,1,0,1,twitter
2013-03-18,eng,1,1,1,twitter
2013-03-19,eng,0,0,87,twitter
2013-03-19,eng,0,1,453,twitter
2013-03-19,eng,1,0,1,twitter
2013-03-19,eng,1,1,3,twitter
2013-03-20,eng,0,0,109,twitter
2013-03-20,eng,0,1,306,twitter
2013-03-20,eng,1,1,3,twitter
2013-03-21,eng,0,0,135,twitter
2013-03-21,eng,0,1,492,twitter
2013-03-21,eng,1,0,2,twitter
2013-03-21,eng,1,1,1,twitter
2013-03-22,eng,0,0,131,twitter
2013-03-22,eng,0,1,430,twitter
2013-03-22,eng,1,0,1,twitter
2013-03-22,eng,1,1,1,twitter
2013-03-23,eng,0,0,127,twitter
2013-03-23,eng,0,1,352,twitter
2013-03-23,eng,1,0,5,twitter
2013-03-23,eng,1,1,1,twitter
2013-03-24,eng,0,0,93,twitter
2013-03-24,eng,0,1,306,twitter
2013-03-25,eng,0,0,94,twitter
2013-03-25,eng,0,1,356,twitter
2013-03-25,eng,1,0,3,twitter
2013-03-26,eng,0,0,84,twitter
2013-03-26,eng,0,1,430,twitter
2013-03-26,eng,1,0,14,twitter
2013-03-26,eng,1,1,4,twitter
2013-03-27,eng,0,0,75,twitter
2013-03-27,eng,0,1,325,twitter
2013-03-27,eng,1,0,2,twitter
2013-03-28,eng,0,0,80,twitter
2013-03-28,eng,0,1,435,twitter
2013-03-28,eng,1,0,3,twitter
2013-03-28,eng,1,1,4,twitter
