date,lang,label_GR,v2_NWO,counts,platform
2018-05-15,eng,0,0,11,twitter
2018-05-15,eng,0,1,4,twitter
2018-05-15,eng,1,0,1,twitter
2018-05-16,eng,0,0,113,twitter
2018-05-16,eng,0,1,23,twitter
2018-05-16,eng,1,0,41,twitter
2018-05-16,eng,1,1,2,twitter
2018-05-17,eng,0,0,309,twitter
2018-05-17,eng,0,1,127,twitter
2018-05-17,eng,1,0,101,twitter
2018-05-17,eng,1,1,3,twitter
2018-05-18,eng,0,0,236,twitter
2018-05-18,eng,0,1,139,twitter
2018-05-18,eng,1,0,61,twitter
2018-05-18,eng,1,1,3,twitter
2018-05-19,eng,0,0,227,twitter
2018-05-19,eng,0,1,181,twitter
2018-05-19,eng,1,0,101,twitter
2018-05-19,eng,1,1,3,twitter
2018-05-20,eng,0,0,222,twitter
2018-05-20,eng,0,1,168,twitter
2018-05-20,eng,1,0,81,twitter
2018-05-20,eng,1,1,5,twitter
2018-05-21,eng,0,0,190,twitter
2018-05-21,eng,0,1,154,twitter
2018-05-21,eng,1,0,80,twitter
2018-05-21,eng,1,1,5,twitter
2018-05-22,eng,0,0,238,twitter
2018-05-22,eng,0,1,145,twitter
2018-05-22,eng,1,0,71,twitter
2018-05-22,eng,1,1,3,twitter
2018-05-23,eng,0,0,219,twitter
2018-05-23,eng,0,1,107,twitter
2018-05-23,eng,1,0,66,twitter
2018-05-23,eng,1,1,1,twitter
2018-05-24,eng,0,0,254,twitter
2018-05-24,eng,0,1,175,twitter
2018-05-24,eng,1,0,98,twitter
2018-05-24,eng,1,1,4,twitter
2018-05-25,eng,0,0,186,twitter
2018-05-25,eng,0,1,91,twitter
2018-05-25,eng,1,0,98,twitter
2018-05-25,eng,1,1,4,twitter
2018-05-26,eng,0,0,232,twitter
2018-05-26,eng,0,1,128,twitter
2018-05-26,eng,1,0,120,twitter
2018-05-26,eng,1,1,4,twitter
2018-05-27,eng,0,0,192,twitter
2018-05-27,eng,0,1,142,twitter
2018-05-27,eng,1,0,124,twitter
2018-05-27,eng,1,1,5,twitter
2018-05-28,eng,0,0,191,twitter
2018-05-28,eng,0,1,185,twitter
2018-05-28,eng,1,0,96,twitter
2018-05-28,eng,1,1,9,twitter
2018-05-29,eng,0,0,188,twitter
2018-05-29,eng,0,1,148,twitter
2018-05-29,eng,1,0,49,twitter
2018-05-29,eng,1,1,6,twitter
2018-05-30,eng,0,0,252,twitter
2018-05-30,eng,0,1,146,twitter
2018-05-30,eng,1,0,69,twitter
2018-05-30,eng,1,1,5,twitter
2018-05-31,eng,0,0,197,twitter
2018-05-31,eng,0,1,176,twitter
2018-05-31,eng,1,0,102,twitter
2018-05-31,eng,1,1,3,twitter
2018-06-01,eng,0,0,250,twitter
2018-06-01,eng,0,1,176,twitter
2018-06-01,eng,1,0,102,twitter
2018-06-01,eng,1,1,4,twitter
2018-06-02,eng,0,0,183,twitter
2018-06-02,eng,0,1,193,twitter
2018-06-02,eng,1,0,88,twitter
2018-06-02,eng,1,1,3,twitter
2018-06-03,eng,0,0,199,twitter
2018-06-03,eng,0,1,175,twitter
2018-06-03,eng,1,0,50,twitter
2018-06-03,eng,1,1,7,twitter
2018-06-04,eng,0,0,204,twitter
2018-06-04,eng,0,1,170,twitter
2018-06-04,eng,1,0,62,twitter
2018-06-04,eng,1,1,3,twitter
2018-06-05,eng,0,0,234,twitter
2018-06-05,eng,0,1,171,twitter
2018-06-05,eng,1,0,74,twitter
2018-06-05,eng,1,1,9,twitter
2018-06-06,eng,0,0,163,twitter
2018-06-06,eng,0,1,116,twitter
2018-06-06,eng,1,0,75,twitter
2018-06-06,eng,1,1,5,twitter
2018-06-07,eng,0,0,75,twitter
2018-06-07,eng,0,1,56,twitter
2018-06-07,eng,1,0,29,twitter
2018-06-07,eng,1,1,4,twitter
