date,lang,label_GR,v2_NWO,counts,platform
2012-04-15,eng,0,0,171,twitter
2012-04-15,eng,0,1,78,twitter
2012-04-15,eng,1,0,41,twitter
2012-04-15,eng,1,1,4,twitter
2012-04-16,eng,0,0,283,twitter
2012-04-16,eng,0,1,79,twitter
2012-04-16,eng,1,0,33,twitter
2012-04-16,eng,1,1,1,twitter
2012-04-17,eng,0,0,256,twitter
2012-04-17,eng,0,1,123,twitter
2012-04-17,eng,1,0,38,twitter
2012-04-17,eng,1,1,1,twitter
2012-04-18,eng,0,0,247,twitter
2012-04-18,eng,0,1,89,twitter
2012-04-18,eng,1,0,43,twitter
2012-04-18,eng,1,1,4,twitter
2012-04-19,eng,0,0,175,twitter
2012-04-19,eng,0,1,81,twitter
2012-04-19,eng,1,0,39,twitter
2012-04-19,eng,1,1,4,twitter
2012-04-20,eng,0,0,170,twitter
2012-04-20,eng,0,1,77,twitter
2012-04-20,eng,1,0,46,twitter
2012-04-20,eng,1,1,2,twitter
2012-04-21,eng,0,0,129,twitter
2012-04-21,eng,0,1,64,twitter
2012-04-21,eng,1,0,22,twitter
2012-04-21,eng,1,1,3,twitter
2012-04-22,eng,0,0,198,twitter
2012-04-22,eng,0,1,98,twitter
2012-04-22,eng,1,0,23,twitter
2012-04-22,eng,1,1,2,twitter
2012-04-23,eng,0,0,211,twitter
2012-04-23,eng,0,1,74,twitter
2012-04-23,eng,1,0,30,twitter
2012-04-23,eng,1,1,2,twitter
2012-04-24,eng,0,0,198,twitter
2012-04-24,eng,0,1,100,twitter
2012-04-24,eng,1,0,35,twitter
2012-04-24,eng,1,1,2,twitter
2012-04-25,eng,0,0,175,twitter
2012-04-25,eng,0,1,66,twitter
2012-04-25,eng,1,0,46,twitter
2012-04-25,eng,1,1,1,twitter
2012-04-26,eng,0,0,240,twitter
2012-04-26,eng,0,1,99,twitter
2012-04-26,eng,1,0,40,twitter
2012-04-26,eng,1,1,2,twitter
2012-04-27,eng,0,0,199,twitter
2012-04-27,eng,0,1,102,twitter
2012-04-27,eng,1,0,113,twitter
2012-04-27,eng,1,1,9,twitter
2012-04-28,eng,0,0,160,twitter
2012-04-28,eng,0,1,65,twitter
2012-04-28,eng,1,0,65,twitter
2012-04-28,eng,1,1,2,twitter
2012-04-29,eng,0,0,210,twitter
2012-04-29,eng,0,1,84,twitter
2012-04-29,eng,1,0,34,twitter
2012-04-29,eng,1,1,6,twitter
2012-04-30,eng,0,0,161,twitter
2012-04-30,eng,0,1,86,twitter
2012-04-30,eng,1,0,30,twitter
2012-05-01,eng,0,0,177,twitter
2012-05-01,eng,0,1,79,twitter
2012-05-01,eng,1,0,37,twitter
2012-05-01,eng,1,1,2,twitter
2012-05-02,eng,0,0,204,twitter
2012-05-02,eng,0,1,90,twitter
2012-05-02,eng,1,0,51,twitter
2012-05-02,eng,1,1,2,twitter
2012-05-03,eng,0,0,261,twitter
2012-05-03,eng,0,1,89,twitter
2012-05-03,eng,1,0,27,twitter
2012-05-03,eng,1,1,1,twitter
2012-05-04,eng,0,0,261,twitter
2012-05-04,eng,0,1,120,twitter
2012-05-04,eng,1,0,38,twitter
2012-05-04,eng,1,1,1,twitter
2012-05-05,eng,0,0,155,twitter
2012-05-05,eng,0,1,90,twitter
2012-05-05,eng,1,0,16,twitter
2012-05-05,eng,1,1,5,twitter
2012-05-06,eng,0,0,164,twitter
2012-05-06,eng,0,1,91,twitter
2012-05-06,eng,1,0,26,twitter
2012-05-06,eng,1,1,5,twitter
2012-05-07,eng,0,0,183,twitter
2012-05-07,eng,0,1,76,twitter
2012-05-07,eng,1,0,23,twitter
2012-05-07,eng,1,1,1,twitter
2012-05-08,eng,0,0,163,twitter
2012-05-08,eng,0,1,81,twitter
2012-05-08,eng,1,0,31,twitter
2012-05-08,eng,1,1,1,twitter
2012-05-09,eng,0,0,191,twitter
2012-05-09,eng,0,1,88,twitter
2012-05-09,eng,1,0,45,twitter
2012-05-09,eng,1,1,5,twitter
2012-05-10,eng,0,0,216,twitter
2012-05-10,eng,0,1,101,twitter
2012-05-10,eng,1,0,49,twitter
2012-05-10,eng,1,1,1,twitter
2012-05-11,eng,0,0,261,twitter
2012-05-11,eng,0,1,91,twitter
2012-05-11,eng,1,0,44,twitter
2012-05-12,eng,0,0,179,twitter
2012-05-12,eng,0,1,79,twitter
2012-05-12,eng,1,0,24,twitter
2012-05-12,eng,1,1,1,twitter
2012-05-13,eng,0,0,194,twitter
2012-05-13,eng,0,1,87,twitter
2012-05-13,eng,1,0,94,twitter
2012-05-13,eng,1,1,5,twitter
2012-05-14,eng,0,0,226,twitter
2012-05-14,eng,0,1,88,twitter
2012-05-14,eng,1,0,74,twitter
2012-05-15,eng,0,0,29,twitter
2012-05-15,eng,0,1,6,twitter
