date,lang,label_GR,v2_NWO,subplatform,counts,platform
2011-06-24,ger,0,0,SZ,2,legnews
2011-06-24,ger,1,0,SZ,2,legnews
2011-06-25,ger,0,0,SZ,5,legnews
2011-06-25,ger,1,0,SZ,2,legnews
2011-06-27,ger,0,0,SZ,2,legnews
2011-06-28,ger,0,0,SZ,2,legnews
2011-06-28,ger,1,0,SZ,1,legnews
2011-06-30,ger,1,0,SZ,1,legnews
2011-07-01,ger,1,0,SZ,2,legnews
2011-07-08,ger,0,0,SZ,6,legnews
2011-07-08,ger,1,0,SZ,3,legnews
2011-07-09,ger,0,0,SZ,8,legnews
2011-07-09,ger,1,0,SZ,1,legnews
2011-07-11,ger,0,0,SZ,7,legnews
2011-07-11,ger,1,0,SZ,3,legnews
2011-07-12,ger,0,0,SZ,9,legnews
2011-07-12,ger,1,0,SZ,2,legnews
2011-07-13,ger,0,0,SZ,11,legnews
2011-07-13,ger,1,0,SZ,4,legnews
2011-07-14,ger,0,0,SZ,9,legnews
2011-07-14,ger,1,0,SZ,3,legnews
2011-07-15,ger,0,0,SZ,6,legnews
2011-07-16,ger,0,0,SZ,6,legnews
2011-07-16,ger,1,0,SZ,2,legnews
2011-07-18,ger,0,0,SZ,5,legnews
2011-07-18,ger,1,0,SZ,1,legnews
2011-07-19,ger,0,0,SZ,11,legnews
2011-07-19,ger,1,0,SZ,1,legnews
2011-08-25,ger,0,0,SZ,5,legnews
2011-08-26,ger,0,0,SZ,6,legnews
2011-08-27,ger,0,0,SZ,12,legnews
2011-08-27,ger,1,0,SZ,2,legnews
2011-08-29,ger,0,0,SZ,8,legnews
2011-08-29,ger,1,0,SZ,3,legnews
2011-08-30,ger,0,0,SZ,5,legnews
2011-08-30,ger,1,0,SZ,3,legnews
2011-08-31,ger,0,0,SZ,6,legnews
2011-08-31,ger,0,1,SZ,1,legnews
2011-08-31,ger,1,0,SZ,4,legnews
2011-09-01,ger,0,0,SZ,10,legnews
2011-09-01,ger,1,0,SZ,2,legnews
2011-09-02,ger,0,0,SZ,4,legnews
2011-09-02,ger,1,0,SZ,3,legnews
2011-09-03,ger,0,0,SZ,10,legnews
2011-09-03,ger,1,0,SZ,3,legnews
2011-09-05,ger,0,0,SZ,4,legnews
2011-09-06,ger,0,0,SZ,2,legnews
2011-09-06,ger,1,0,SZ,1,legnews
2011-10-11,ger,0,0,SZ,1,legnews
2011-10-12,ger,0,0,SZ,2,legnews
2011-10-12,ger,1,0,SZ,2,legnews
2011-10-13,ger,0,0,SZ,2,legnews
2011-10-13,ger,1,0,SZ,3,legnews
2011-10-14,ger,0,0,SZ,3,legnews
2011-10-15,ger,0,0,SZ,2,legnews
2011-10-17,ger,0,0,SZ,1,legnews
2011-10-17,ger,1,0,SZ,1,legnews
2011-10-18,ger,0,0,SZ,2,legnews
2011-10-18,ger,1,0,SZ,2,legnews
2011-10-19,ger,0,0,SZ,3,legnews
2011-10-20,ger,0,0,SZ,2,legnews
2011-10-20,ger,1,0,SZ,1,legnews
2011-10-21,ger,0,0,SZ,4,legnews
2011-10-21,ger,0,1,SZ,1,legnews
2011-10-22,ger,0,0,SZ,3,legnews
2011-10-22,ger,1,0,SZ,2,legnews
2011-10-24,ger,0,0,SZ,1,legnews
2011-10-24,ger,1,0,SZ,1,legnews
2011-10-25,ger,0,0,SZ,2,legnews
2011-10-25,ger,1,0,SZ,1,legnews
2011-10-26,ger,0,0,SZ,2,legnews
2011-10-27,ger,0,0,SZ,1,legnews
2011-10-27,ger,1,0,SZ,1,legnews
2011-10-28,ger,1,0,SZ,3,legnews
2011-10-29,ger,0,0,SZ,2,legnews
2011-10-31,ger,0,0,SZ,1,legnews
2011-11-02,ger,0,0,SZ,2,legnews
2011-11-02,ger,1,0,SZ,2,legnews
2011-11-03,ger,0,0,SZ,1,legnews
2011-11-04,ger,0,0,SZ,3,legnews
2011-11-05,ger,0,0,SZ,2,legnews
2011-11-05,ger,1,0,SZ,2,legnews
2011-11-08,ger,0,0,SZ,1,legnews
2011-11-09,ger,0,0,SZ,1,legnews
2011-11-09,ger,1,0,SZ,1,legnews
2011-11-10,ger,0,0,SZ,5,legnews
2011-11-10,ger,1,0,SZ,1,legnews
2011-11-11,ger,0,0,SZ,2,legnews
2011-11-12,ger,0,0,SZ,2,legnews
2011-11-14,ger,0,0,SZ,1,legnews
2011-11-14,ger,1,0,SZ,1,legnews
2011-11-15,ger,0,0,SZ,3,legnews
2011-11-15,ger,1,0,SZ,2,legnews
2011-11-16,ger,0,0,SZ,1,legnews
2011-11-16,ger,1,0,SZ,1,legnews
2011-11-17,ger,0,0,SZ,2,legnews
2011-11-17,ger,1,0,SZ,1,legnews
2011-11-18,ger,0,0,SZ,4,legnews
2011-11-18,ger,1,0,SZ,1,legnews
2011-11-19,ger,0,0,SZ,3,legnews
2011-11-19,ger,0,1,SZ,1,legnews
2011-11-19,ger,1,0,SZ,1,legnews
2011-11-21,ger,0,0,SZ,2,legnews
2011-11-21,ger,1,0,SZ,1,legnews
2011-11-22,ger,0,0,SZ,2,legnews
2011-11-22,ger,1,0,SZ,1,legnews
2011-11-23,ger,0,0,SZ,1,legnews
2011-11-23,ger,1,0,SZ,2,legnews
2011-11-25,ger,0,0,SZ,1,legnews
2011-11-25,ger,1,0,SZ,2,legnews
2011-11-26,ger,0,0,SZ,2,legnews
2011-11-26,ger,1,0,SZ,1,legnews
2011-11-28,ger,0,0,SZ,3,legnews
2011-11-29,ger,0,0,SZ,1,legnews
2011-11-29,ger,1,0,SZ,2,legnews
2011-11-30,ger,0,0,SZ,2,legnews
2011-12-02,ger,0,0,SZ,2,legnews
2011-12-02,ger,1,0,SZ,1,legnews
2011-12-03,ger,0,0,SZ,3,legnews
2011-12-03,ger,1,0,SZ,1,legnews
2011-12-05,ger,0,0,SZ,2,legnews
2011-12-07,ger,0,0,SZ,1,legnews
2011-12-07,ger,1,0,SZ,1,legnews
2011-12-08,ger,0,0,SZ,1,legnews
2011-12-08,ger,1,0,SZ,1,legnews
2011-12-09,ger,0,0,SZ,4,legnews
2011-12-09,ger,1,0,SZ,1,legnews
2011-12-10,ger,0,0,SZ,3,legnews
2011-12-12,ger,0,0,SZ,2,legnews
2011-12-13,ger,0,0,SZ,2,legnews
2011-12-13,ger,1,0,SZ,1,legnews
2011-12-14,ger,0,0,SZ,1,legnews
2011-12-15,ger,0,0,SZ,2,legnews
2011-12-15,ger,1,0,SZ,2,legnews
2011-12-16,ger,0,0,SZ,1,legnews
2011-12-16,ger,1,0,SZ,2,legnews
2011-12-17,ger,0,0,SZ,3,legnews
2011-12-19,ger,0,0,SZ,1,legnews
2011-12-20,ger,0,0,SZ,2,legnews
2011-12-21,ger,0,0,SZ,3,legnews
2011-12-21,ger,1,0,SZ,1,legnews
2011-12-22,ger,0,0,SZ,1,legnews
2011-12-22,ger,1,0,SZ,2,legnews
2011-12-23,ger,0,0,SZ,1,legnews
2011-12-23,ger,1,0,SZ,3,legnews
2011-12-24,ger,0,0,SZ,5,legnews
2011-12-27,ger,0,0,SZ,4,legnews
2011-12-28,ger,0,0,SZ,1,legnews
2011-12-29,ger,0,0,SZ,2,legnews
2011-12-29,ger,1,0,SZ,1,legnews
2011-12-30,ger,0,0,SZ,2,legnews
2011-12-30,ger,1,0,SZ,1,legnews
2011-12-31,ger,0,0,SZ,3,legnews
2011-12-31,ger,1,0,SZ,1,legnews
2012-08-06,ger,0,0,SZ,4,legnews
2012-08-07,ger,0,0,SZ,8,legnews
2012-08-07,ger,1,0,SZ,1,legnews
2012-08-08,ger,0,0,SZ,7,legnews
2012-08-08,ger,1,0,SZ,3,legnews
2012-08-09,ger,0,0,SZ,8,legnews
2012-08-09,ger,1,0,SZ,3,legnews
2012-08-10,ger,0,0,SZ,11,legnews
2012-08-10,ger,1,0,SZ,1,legnews
2012-08-11,ger,0,0,SZ,13,legnews
2012-08-11,ger,1,0,SZ,3,legnews
2012-08-13,ger,0,0,SZ,8,legnews
2012-08-13,ger,1,0,SZ,2,legnews
2012-08-14,ger,0,0,SZ,9,legnews
2012-08-14,ger,1,0,SZ,1,legnews
2012-08-16,ger,0,0,SZ,11,legnews
2012-08-16,ger,1,0,SZ,2,legnews
2012-08-17,ger,0,0,SZ,7,legnews
2012-08-17,ger,1,0,SZ,1,legnews
2012-08-18,ger,0,0,SZ,4,legnews
2012-08-20,ger,0,0,SZ,4,legnews
2012-08-20,ger,1,0,SZ,1,legnews
2012-08-21,ger,0,0,SZ,8,legnews
2012-08-21,ger,1,0,SZ,5,legnews
2012-08-22,ger,0,0,SZ,7,legnews
2012-08-22,ger,1,0,SZ,3,legnews
2012-08-23,ger,0,0,SZ,7,legnews
2012-08-23,ger,1,0,SZ,2,legnews
2012-08-24,ger,0,0,SZ,10,legnews
2012-08-24,ger,1,0,SZ,2,legnews
2012-08-25,ger,0,0,SZ,12,legnews
2012-08-25,ger,1,0,SZ,2,legnews
2012-08-27,ger,0,0,SZ,4,legnews
2012-08-27,ger,1,0,SZ,1,legnews
2012-08-28,ger,0,0,SZ,6,legnews
2012-08-29,ger,0,0,SZ,5,legnews
2012-08-29,ger,0,1,SZ,1,legnews
2012-08-30,ger,0,0,SZ,3,legnews
2012-09-22,ger,0,0,SZ,7,legnews
2012-09-22,ger,1,0,SZ,1,legnews
2012-09-24,ger,0,0,SZ,8,legnews
2012-09-25,ger,0,0,SZ,10,legnews
2012-09-26,ger,0,0,SZ,5,legnews
2012-09-26,ger,1,0,SZ,1,legnews
2012-09-27,ger,0,0,SZ,3,legnews
2012-09-27,ger,1,0,SZ,1,legnews
2012-09-28,ger,0,0,SZ,10,legnews
2012-09-28,ger,1,0,SZ,3,legnews
2012-09-29,ger,0,0,SZ,7,legnews
2012-09-29,ger,1,0,SZ,2,legnews
2012-10-01,ger,0,0,SZ,7,legnews
2012-10-01,ger,1,0,SZ,4,legnews
2012-10-02,ger,0,0,SZ,8,legnews
2012-10-02,ger,1,0,SZ,2,legnews
2012-10-03,ger,0,0,SZ,1,legnews
2012-10-03,ger,1,0,SZ,2,legnews
2012-10-04,ger,0,0,SZ,5,legnews
2012-10-04,ger,1,0,SZ,2,legnews
2012-10-05,ger,0,0,SZ,3,legnews
2012-10-05,ger,1,0,SZ,2,legnews
2012-10-06,ger,0,0,SZ,11,legnews
2012-10-06,ger,1,0,SZ,2,legnews
2012-10-08,ger,0,0,SZ,7,legnews
2012-10-08,ger,1,0,SZ,2,legnews
2012-10-09,ger,0,0,SZ,10,legnews
2012-10-09,ger,1,0,SZ,3,legnews
