date,lang,label_GR,v2_NWO,subplatform,counts,platform
2011-05-03,eng,0,0,WP,5,legnews
2011-05-03,eng,1,0,WP,2,legnews
2011-05-04,eng,0,0,WP,4,legnews
2011-05-05,eng,0,0,WP,9,legnews
2011-05-06,eng,0,0,WP,7,legnews
2011-05-06,eng,1,0,WP,1,legnews
2011-05-07,eng,0,0,WP,2,legnews
2011-05-08,eng,0,0,WP,6,legnews
2011-05-09,eng,0,0,WP,1,legnews
2011-05-10,eng,0,0,WP,2,legnews
2011-05-11,eng,0,0,WP,4,legnews
2011-05-11,eng,1,0,WP,1,legnews
2011-05-12,eng,0,0,WP,7,legnews
2011-05-12,eng,1,0,WP,1,legnews
2011-05-13,eng,0,0,WP,5,legnews
2011-05-14,eng,0,0,WP,1,legnews
2011-05-15,eng,0,0,WP,1,legnews
2011-05-15,eng,1,0,WP,1,legnews
2011-05-16,eng,0,0,WP,2,legnews
2011-05-17,eng,0,0,WP,4,legnews
2011-05-18,eng,0,0,WP,2,legnews
2011-05-18,eng,1,0,WP,1,legnews
2011-05-19,eng,0,0,WP,11,legnews
2011-05-19,eng,1,0,WP,1,legnews
2011-05-20,eng,0,0,WP,1,legnews
2011-05-21,eng,0,0,WP,1,legnews
2011-05-21,eng,0,1,WP,1,legnews
2011-05-22,eng,0,0,WP,6,legnews
2011-05-22,eng,1,0,WP,1,legnews
2011-05-23,eng,0,0,WP,2,legnews
2011-05-24,eng,0,0,WP,2,legnews
2011-05-25,eng,0,0,WP,2,legnews
2011-05-26,eng,0,0,WP,4,legnews
2011-05-27,eng,0,0,WP,5,legnews
2011-05-27,eng,1,0,WP,2,legnews
2011-05-28,eng,1,0,WP,2,legnews
2011-05-29,eng,0,0,WP,3,legnews
2011-05-30,eng,0,0,WP,2,legnews
2011-05-30,eng,1,0,WP,2,legnews
2011-05-31,eng,0,0,WP,2,legnews
2011-06-01,eng,0,0,WP,1,legnews
2011-06-02,eng,0,0,WP,7,legnews
2011-06-03,eng,0,0,WP,6,legnews
2011-06-04,eng,1,0,WP,1,legnews
2011-06-05,eng,0,0,WP,3,legnews
2011-06-06,eng,0,0,WP,1,legnews
2011-06-07,eng,0,0,WP,2,legnews
2011-06-09,eng,0,0,WP,7,legnews
2011-06-10,eng,0,0,WP,1,legnews
2011-06-12,eng,0,0,WP,3,legnews
2011-06-13,eng,0,0,WP,2,legnews
2011-06-14,eng,0,0,WP,2,legnews
2011-06-14,eng,1,0,WP,2,legnews
2011-06-16,eng,0,0,WP,8,legnews
2011-06-17,eng,0,0,WP,1,legnews
2011-06-18,eng,1,0,WP,1,legnews
2011-06-19,eng,0,0,WP,5,legnews
2011-06-19,eng,0,1,WP,2,legnews
2011-06-21,eng,0,0,WP,1,legnews
2011-06-21,eng,1,0,WP,2,legnews
2011-06-22,eng,0,0,WP,4,legnews
2011-06-23,eng,0,0,WP,8,legnews
2011-06-23,eng,1,0,WP,1,legnews
2011-06-24,eng,0,0,WP,4,legnews
2011-06-26,eng,0,0,WP,1,legnews
2011-06-26,eng,1,0,WP,1,legnews
2011-06-29,eng,0,0,WP,2,legnews
2011-06-30,eng,0,0,WP,4,legnews
2011-07-01,eng,0,0,WP,6,legnews
2011-07-01,eng,1,0,WP,1,legnews
2011-07-02,eng,1,0,WP,1,legnews
2011-07-03,eng,0,0,WP,2,legnews
2011-07-05,eng,1,0,WP,1,legnews
2011-07-07,eng,0,0,WP,5,legnews
2011-07-07,eng,1,0,WP,1,legnews
2011-07-08,eng,0,0,WP,4,legnews
2011-07-08,eng,1,0,WP,1,legnews
2011-07-09,eng,1,0,WP,2,legnews
2011-07-10,eng,0,0,WP,2,legnews
2011-07-11,eng,0,0,WP,1,legnews
2011-07-13,eng,0,0,WP,1,legnews
