date,lang,label_GR,v2_NWO,subplatform,counts,platform
2011-01-03,ger,0,0,SZ,8,legnews
2011-01-03,ger,1,0,SZ,3,legnews
2011-01-04,ger,0,0,SZ,6,legnews
2011-01-05,ger,0,0,SZ,4,legnews
2011-01-05,ger,1,0,SZ,5,legnews
2011-01-07,ger,0,0,SZ,1,legnews
2011-01-08,ger,0,0,SZ,12,legnews
2011-01-08,ger,1,0,SZ,5,legnews
2011-01-10,ger,0,0,SZ,5,legnews
2011-01-10,ger,1,0,SZ,3,legnews
2011-01-11,ger,0,0,SZ,7,legnews
2011-01-11,ger,1,0,SZ,5,legnews
2011-01-12,ger,0,0,SZ,4,legnews
2011-01-12,ger,1,0,SZ,1,legnews
2011-01-13,ger,0,0,SZ,12,legnews
2011-01-13,ger,1,0,SZ,4,legnews
2011-01-14,ger,0,0,SZ,15,legnews
2011-01-14,ger,1,0,SZ,4,legnews
2011-01-15,ger,0,0,SZ,15,legnews
2011-01-15,ger,1,0,SZ,2,legnews
2011-01-17,ger,0,0,SZ,6,legnews
2011-01-17,ger,1,0,SZ,2,legnews
2011-01-18,ger,0,0,SZ,7,legnews
2011-01-18,ger,1,0,SZ,1,legnews
2011-01-19,ger,0,0,SZ,10,legnews
2011-01-19,ger,1,0,SZ,2,legnews
2011-01-20,ger,0,0,SZ,6,legnews
2011-01-20,ger,1,0,SZ,4,legnews
2011-01-21,ger,0,0,SZ,14,legnews
2011-01-22,ger,0,0,SZ,12,legnews
2011-01-22,ger,1,0,SZ,3,legnews
2011-01-24,ger,0,0,SZ,6,legnews
2011-01-24,ger,1,0,SZ,2,legnews
2011-01-25,ger,0,0,SZ,6,legnews
2011-01-25,ger,1,0,SZ,4,legnews
2011-01-26,ger,0,0,SZ,3,legnews
2011-01-26,ger,1,0,SZ,1,legnews
2011-01-27,ger,0,0,SZ,2,legnews
2011-01-28,ger,0,0,SZ,3,legnews
2011-01-28,ger,0,1,SZ,1,legnews
2011-01-28,ger,1,0,SZ,2,legnews
2011-01-29,ger,0,0,SZ,2,legnews
2011-01-31,ger,1,0,SZ,1,legnews
2011-03-08,ger,0,0,SZ,9,legnews
2011-03-08,ger,1,0,SZ,2,legnews
2011-03-09,ger,0,0,SZ,10,legnews
2011-03-09,ger,1,0,SZ,2,legnews
2011-03-10,ger,0,0,SZ,6,legnews
2011-03-10,ger,1,0,SZ,2,legnews
2011-03-11,ger,0,0,SZ,5,legnews
2011-03-11,ger,1,0,SZ,1,legnews
2011-03-12,ger,0,0,SZ,8,legnews
2011-03-12,ger,1,0,SZ,4,legnews
2011-03-14,ger,0,0,SZ,3,legnews
2011-03-14,ger,1,0,SZ,2,legnews
2011-03-15,ger,0,0,SZ,7,legnews
2011-03-15,ger,1,0,SZ,2,legnews
2011-03-16,ger,0,0,SZ,7,legnews
2011-03-16,ger,1,0,SZ,3,legnews
2011-03-17,ger,0,0,SZ,8,legnews
2011-03-17,ger,1,0,SZ,1,legnews
2011-03-18,ger,0,0,SZ,7,legnews
2011-03-18,ger,1,0,SZ,6,legnews
2011-04-20,ger,0,0,SZ,3,legnews
2011-04-20,ger,1,0,SZ,1,legnews
2011-04-21,ger,0,0,SZ,8,legnews
2011-04-21,ger,1,0,SZ,2,legnews
2011-04-23,ger,0,0,SZ,11,legnews
2011-04-23,ger,1,0,SZ,3,legnews
2011-04-26,ger,0,0,SZ,4,legnews
2011-04-26,ger,1,0,SZ,1,legnews
2011-04-27,ger,0,0,SZ,5,legnews
2011-04-27,ger,1,0,SZ,3,legnews
2011-04-28,ger,0,0,SZ,11,legnews
2011-04-28,ger,1,0,SZ,1,legnews
2011-04-29,ger,0,0,SZ,9,legnews
2011-04-29,ger,1,0,SZ,3,legnews
2011-04-30,ger,0,0,SZ,3,legnews
2011-05-02,ger,0,0,SZ,3,legnews
